publicatie_status,titel,rol,org_naam,org_url,org_logo,url,aanpak,omschrijving,van,tot,skills,star,tags
live,Clean Street,Concept Design,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Service Design,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,Taakapplicatie Handhaving en Toezicht Evenementen,"Concept Design, Tech Lead",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Design Sprint,,jan. 1900,jan. 1900,"design thinking, design sprint",,innovatie
live,Data Servicepunt Flevoland,"Strategisch Adviseur, Architect",Provincie Flevoland,https://www.linkedin.com/company/provincie-flevoland/,https://media.licdn.com/dms/image/C560BAQHvKVZwcp-LzQ/company-logo_200_200/0/1539583399931?e=1694649600&v=beta&t=k8PA12y3oIKM2PPwzyKGhR87lBuknbJ7KNHE5j9EP9Q,,Adviestraject,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,innovatie
live,SMS Flevowegen,"Product Lead, Tech Lead",Provincie Flevoland,https://www.linkedin.com/company/provincie-flevoland/,https://media.licdn.com/dms/image/C560BAQHvKVZwcp-LzQ/company-logo_200_200/0/1539583399931?e=1694649600&v=beta&t=k8PA12y3oIKM2PPwzyKGhR87lBuknbJ7KNHE5j9EP9Q,,Agile Development,Groot onderhoud aan bruggen en sluizen levert veel overlast voor omwonenden en bedrijven. Die moeten daardoor namelijk ver omrijden. Zij wilden graag via SMS op de hoogte gehouden worden van werkzaamheden en stremmingen.,jan. 1900,jan. 1900,"design research, service design, prototyping, software development",,innovatie
live,Clarity Use Cases,"Concept Design, Product Lead",Waag Futurelab,https://www.linkedin.com/company/waag-society/,https://media.licdn.com/dms/image/C4D0BAQFDMNS9HN7wJg/company-logo_200_200/0/1521457451751?e=1694649600&v=beta&t=Rh2DwljuKXq6p4zdg3r1zXz9gkuPurVdT0-CFZrOTV0,,Design Sprint,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,innovatie
live,Fixxx “Makkelijke Markt: Eerlijk Controleren”,"Concept Design, Adviseur Algoritmiek",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,"Met de introductie van het bonnenboekje, kregen we zicht op overtredingen van de marktregels. Dit leverde een oneerlijk voordeel op ten opzichte van anderen. In dit traject voegden we functionaliteit toe om marktkooplieden op een slimme en eerlijke manier extra te controleren.",jan. 1900,jan. 1900,null,,"datagedrevenwerken,commonground,innovatie,fixxx"
live,Fixxx “Makkelijke Markt: Digitaal Indelen”,"Concept Design, Adviseur Algoritmiek",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,"Digitaal indelen van de straatmarkten is geen sinecure. De markten digitaliseren, aanmelden voor alle marktkooplieden mogelijk maken, slim en eerlijk indelen met een duidelijke link naar beleid en het laatste woord aan de marktmeesters: al deze aspecten passeerden de revue.",jan. 1900,jan. 1900,null,,"digitaletransformatie,datagedrevenwerken,commonground,innovatie,fixxx"
live,Huisvesting Kwetsbare Groepen,"Product Lead, Project Manager",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,null
live,ADUS Amsterdam,(Platform) Architect,Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Platform Refactoring,informatie delen,jan. 1900,jan. 1900,null,,"datagedrevenwerken,privacybydesign,commonground,innovatie"
live,Code for NL,"Community Strategie, Organisatie",Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,https://www.codefor.nl,Open Meetups,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,null
live,Digitale Transformatie Wonen,"Business Analist, Strategisch Adviseur",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Interventie,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"digitaletransformatie,innovatie"
live,Service Center Publieke Professionals,"Business Analist, Strategisch Adviseur",Gemeente Amsterdam,https://www.linkedin.com/company/gemeente-amsterdam/,https://media.licdn.com/dms/image/C4E0BAQHshjLzKJl19g/company-logo_200_200/0/1659945554228?e=1694649600&v=beta&t=CUDm4LtUZ-ZL0jSKd7dgWIa0p6v7b22HL2h9HQhujX4,,Agile Development,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"digitaletransformatie,innovatie"
live,AI met Impact,Community Strategie,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,,Community of Practice,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,"strategie, community-ontwikkeling, community management",,"datagedrevenwerken,AI"
live,Unconference 2020: Aligning Public Tech,Organisatie,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,,Open Unconference,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"publictech,openkennisdeling"
live,CoronaApps Community,Aanjager,Stichting Code for NL,https://www.linkedin.com/company/codefornl/,https://media.licdn.com/dms/image/C4D0BAQHjJ7tSM_9Nng/company-logo_200_200/0/1623696540608?e=1694649600&v=beta&t=oqtj4x45mrKwrM8OJHCZEt-2gfraTZD2HndfL6aKuW4,,Open Community,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,"publictech,constructief-kritisch"
live,Digitale Ondersteuning Bestrijding COVID-19,Concept Design,"Ministerie van Volksgezondheid, Welzijn en Sport",https://www.linkedin.com/company/ministerie-van-vws/,https://media.licdn.com/dms/image/D4E0BAQHNO7z0xop4YA/company-logo_200_200/0/1691392238406/ministerie_van_vws_logo?e=1708560000&v=beta&t=GlYSsSuXg6dH4L_DbxqoInG2_rbdmqTbPFUneILxXKI,,Design Sprint,Dit project is nog niet goed omschreven.,jan. 1900,jan. 1900,null,,innovatie
